RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	-73732	-108051	1.232778	103.756389	1:13:58N	103:45:23E	48NUG6163836292	NA48-10	T	ISL		SN	00				N			Pulau	PULAUULAR	Pulau Ular	Pulau Ular	ULAR PULAU	Ular, Pulau	Ular, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73731	-108050	1.411944	103.963889	1:24:43N	103:57:50E	48NUG8473556088	NA48-10	T	ISL		SN	00				N			Pulau	PULAUUBIN	Pulau Ubin	Pulau Ubin	UBIN PULAU	Ubin, Pulau	Ubin, Pulau		1996-11-29	1,2,3,4,5,6	1			1995-04-27		
5	-73376	-107573	1.302222	103.707222	1:18:08N	103:42:26E	48NUG5617143972	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGKLING	Tanjong Kling	Tanjong Kling	KLING TANJONG	Kling, Tanjong	Kling, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73727	-108044	1.316667	103.65	1:19:00N	103:39:00E	48NUG4980445572	NA48-10	T	PT		SN	00				D			Tanjong	TANJONGTUAS	Tanjong Tuas	Tanjong Tuas	TUAS TANJONG	Tuas, Tanjong	Tuas, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73658	-107934	1.2075	103.720556	1:12:27N	103:43:14E	48NUG5764933499	NA48-10	T	ISL		SN	00				V				POELAUSOEDONG	Poelau Soedong	Poelau Soedong	SOEDONG POELAU	Soedong, Poelau	Soedong, Poelau		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73658	-107953	1.2075	103.720556	1:12:27N	103:43:14E	48NUG5764933499	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSUDONG	Pulau Sudong	Pulau Sudong	SUDONG PULAU	Sudong, Pulau	Sudong, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73657	-107952	1.213611	103.835	1:12:49N	103:50:06E	48NUG7038534169	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSUBARLAUT	Pulau Subar Laut	Pulau Subar Laut	SUBARLAUT PULAU	Subar Laut, Pulau	Subar Laut, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73657	-107946	1.213611	103.835	1:12:49N	103:50:06E	48NUG7038534169	NA48-10	T	ISL		SN	00				V				SOUTHSISTER	South Sister	South Sister	SOUTHSISTER	South Sister	South Sister		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73656	-107951	1.216389	103.8325	1:12:59N	103:49:57E	48NUG7010734476	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSUBARDARAT	Pulau Subar Darat	Pulau Subar Darat	SUBARDARAT PULAU	Subar Darat, Pulau	Subar Darat, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73656	-107675	1.216389	103.8325	1:12:59N	103:49:57E	48NUG7010734476	NA48-10	T	ISL		SN	00				V				NORTHSISTER	North Sister	North Sister	NORTHSISTER	North Sister	North Sister		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73647	-107940	1.300833	103.8475	1:18:03N	103:50:51E	48NUG7178043811	NA48-10	T	HLL		SN	00				N			Mount	MOUNTSOPHIA	Mount Sophia	Mount Sophia	SOPHIA MOUNT	Sophia, Mount	Sophia, Mount		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73643	-107206	1.383333	103.657222	1:23:00N	103:39:26E	48NUG5061252942	NA48-10	T	PT		SN	00				V				TANJONGBERIH	Tanjong Berih	Tanjong Berih	BERIH TANJONG	Berih, Tanjong	Berih, Tanjong		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73643	-107933	1.383333	103.657222	1:23:00N	103:39:26E	48NUG5061252942	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGSKOPEK	Tanjong Skopek	Tanjong Skopek	SKOPEK TANJONG	Skopek, Tanjong	Skopek, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73414	-107629	1.283333	103.783333	1:17:00N	103:47:00E	48NUG6463941879	NA48-10	T	PT		SN	00				D			Tanjong	TANJONGMAT	Tanjong Mat	Tanjong Mat	MAT TANJONG	Mat, Tanjong	Mat, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73404	-107613	1.436944	104.061944	1:26:13N	104:03:43E	48NUG9564658847	NA48-10	T	RK		SN	00				V				BATUMALANGBERDAUN	Batu Malang Berdaun	Batu Malang Berdaun	MALANGBERDAUN BATU	Malang Berdaun, Batu	Malang Berdaun, Batu		1995-04-27	1,2,3,4,5				1995-03-09		
5	-73404	-107612	1.436944	104.061944	1:26:13N	104:03:43E	48NUG9564658847	NA48-10	T	RK		SN	00				N			Batu	BATUMALANGBELDAUN	Batu Malang Beldaun	Batu Malang Beldaun	MALANGBELDAUN BATU	Malang Beldaun, Batu	Malang Beldaun, Batu		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73404	-107317	1.436944	104.061944	1:26:13N	104:03:43E	48NUG9564658847	NA48-10	T	RK		SN	00				V				CHOMBUNROCK	Chombun Rock	Chombun Rock	CHOMBUNROCK	Chombun Rock	Chombun Rock		1995-04-27	1,2,3,4,5				1995-03-09		
5	-73402	-107608	1.260833	103.722222	1:15:39N	103:43:20E	48NUG5783839395	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGMAKBAOK	Tanjong Mak Baok	Tanjong Mak Baok	MAKBAOK TANJONG	Mak Baok, Tanjong	Mak Baok, Tanjong		1995-07-26	1,2,3,4,5	1			1995-07-26		
5	-73591	-107862	1.259444	103.818333	1:15:34N	103:49:06E	48NUG6853239236	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSELEGU	Pulau Selegu	Pulau Selegu	SELEGU PULAU	Selegu, Pulau	Selegu, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73362	-107557	1.3	103.9	1:18:00N	103:54:00E	48NUG7762143716	NA48-10	T	PT		SN	00				D			Tanjong	TANJONGKATONG	Tanjong Katong	Tanjong Katong	KATONG TANJONG	Katong, Tanjong	Katong, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73397	-107603	1.385556	103.651111	1:23:08N	103:39:04E	48NUG4993253189	NA48-10	T	RKS		SN	00				N				LUCYROCKS	Lucy Rocks	Lucy Rocks	LUCYROCKS	Lucy Rocks	Lucy Rocks		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73587	-107854	1.283333	103.733333	1:17:00N	103:44:00E	48NUG5907541882	NA48-10	T	ISL		SN	00				D			Pulau	PULAUSEBURUSLUAR	Pulau Seburus Luar	Pulau Seburus Luar	SEBURUSLUAR PULAU	Seburus Luar, Pulau	Seburus Luar, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73586	-107853	1.266667	103.733333	1:16:00N	103:44:00E	48NUG5907440039	NA48-10	T	ISL		SN	00				D			Pulau	PULAUSEBURUSDALAM	Pulau Seburus Dalam	Pulau Seburus Dalam	SEBURUSDALAM PULAU	Seburus Dalam, Pulau	Seburus Dalam, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73585	-107852	1.205833	103.795	1:12:21N	103:47:42E	48NUG6593333311	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSEBAROK	Pulau Sebarok	Pulau Sebarok	SEBAROK PULAU	Sebarok, Pulau	Sebarok, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73585	-107651	1.205833	103.795	1:12:21N	103:47:42E	48NUG6593333311	NA48-10	T	ISL		SN	00				V				MIDDLEISLAND	Middle Island	Middle Island	MIDDLEISLAND	Middle Island	Middle Island		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73611	-107179	1.171111	103.735278	1:10:16N	103:44:07E	48NUG5928629475	NA48-10	T	ISL		SN	00				V				BARNEILAND	Barn-eiland	Barn-eiland	BARNEILAND	Barn-eiland	Barn-eiland		1996-11-29	1,2,3,4,5,6				1993-09-01		
5	-73611	-107887	1.171111	103.735278	1:10:16N	103:44:07E	48NUG5928629475	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSENANG	Pulau Senang	Pulau Senang	SENANG PULAU	Senang, Pulau	Senang, Pulau		1996-11-29	1,2,3,4,5,6	1			1993-09-01		
5	-73603	-107875	1.206667	103.760278	1:12:24N	103:45:37E	48NUG6207033405	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSEMAKAU	Pulau Semakau	Pulau Semakau	SEMAKAU PULAU	Semakau, Pulau	Semakau, Pulau		1996-11-29	1,2,3,4,5,6	1			1993-09-01		
5	-73603	-107623	1.206667	103.760278	1:12:24N	103:45:37E	48NUG6207033405	NA48-10	T	ISL		SN	00				V				MANGROVEEILAND	Mangrove-eiland	Mangrove-eiland	MANGROVEEILAND	Mangrove-eiland	Mangrove-eiland		1996-11-29	1,2,3,4,5,6				1993-09-01		
5	-73671	-107972	1.423611	103.926389	1:25:25N	103:55:35E	48NUG8056457380	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGTAJAM	Tanjong Tajam	Tanjong Tajam	TAJAM TANJONG	Tajam, Tanjong	Tajam, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73562	-107827	1.400556	104.025	1:24:02N	104:01:30E	48NUG9153454826	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSAJAHATKECHIL	Pulau Sajahat Kechil	Pulau Sajahat Kechil	SAJAHATKECHIL PULAU	Sajahat Kechil, Pulau	Sajahat Kechil, Pulau		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73512	-107764	1.316667	103.633333	1:19:00N	103:38:00E	48NUG4795045573	NA48-10	T	HLL		SN	00				V				PIOTU	Piotu	Piotu	PIOTU	Piotu	Piotu		1995-07-26	1,2,3,4,5				1995-06-21		
5	-73512	-107758	1.316667	103.633333	1:19:00N	103:38:00E	48NUG4795045573	NA48-10	T	HLL		SN	00				D			Bukit	BUKITPIATU	Bukit Piatu	Bukit Piatu	PIATU BUKIT	Piatu, Bukit	Piatu, Bukit		1995-07-26	1,2,3,4,5	1			1995-06-21		
5	-73509	-107753	1.425	104.031667	1:25:30N	104:01:54E	48NUG9227757528	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGPETEMIN	Tanjong Petemin	Tanjong Petemin	PETEMIN TANJONG	Petemin, Tanjong	Petemin, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73509	-107180	1.425	104.031667	1:25:30N	104:01:54E	48NUG9227757528	NA48-10	T	PT		SN	00				V				TANJONGBATEMAN	Tanjong Bateman	Tanjong Bateman	BATEMAN TANJONG	Bateman, Tanjong	Bateman, Tanjong		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73505	-107765	1.285278	103.688333	1:17:07N	103:41:18E	48NUG5406842100	NA48-10	T	ISL		SN	00				V				POELAUPISI	Poelau Pisi	Poelau Pisi	PISI POELAU	Pisi, Poelau	Pisi, Poelau		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73505	-107749	1.285278	103.688333	1:17:07N	103:41:18E	48NUG5406842100	NA48-10	T	ISL		SN	00				N			Pulau	PULAUPESEK	Pulau Pesek	Pulau Pesek	PESEK PULAU	Pesek, Pulau	Pesek, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73496	-107739	1.201389	103.759444	1:12:05N	103:45:34E	48NUG6197632821	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGPENYALAI	Tanjong Penyalai	Tanjong Penyalai	PENYALAI TANJONG	Penyalai, Tanjong	Penyalai, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73495	-107737	1.297778	103.755	1:17:52N	103:45:18E	48NUG6148743478	NA48-10	T	PT		SN	00				V				TANJONGPENURU	Tanjong Penuru	Tanjong Penuru	PENURU TANJONG	Penuru, Tanjong	Penuru, Tanjong		1995-04-26	1,2,3,4,5				1995-04-26		
5	-73495	-107736	1.297778	103.755	1:17:52N	103:45:18E	48NUG6148743478	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGPENJURU	Tanjong Penjuru	Tanjong Penjuru	PENJURU TANJONG	Penjuru, Tanjong	Penjuru, Tanjong		1995-04-26	1,2,3,4,5	1			1995-04-26		
5	-73489	-107729	1.283889	103.84	1:17:02N	103:50:24E	48NUG7094441938	NA48-10	T	HLL		SN	00				N				PEARLSHILL	Pearls Hill	Pearls Hill	PEARLSHILL	Pearls Hill	Pearls Hill		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73617	-107894	1.409167	103.923889	1:24:33N	103:55:26E	48NUG8028555783	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSERANGOON	Pulau Serangoon	Pulau Serangoon	SERANGOON PULAU	Serangoon, Pulau	Serangoon, Pulau		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73617	-107325	1.409167	103.923889	1:24:33N	103:55:26E	48NUG8028555783	NA48-10	T	ISL		SN	00				V				CONEYISLAND	Coney Island	Coney Island	CONEYISLAND	Coney Island	Coney Island		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73550	-107808	1.260278	103.814722	1:15:37N	103:48:53E	48NUG6813039329	NA48-10	T	ISL		SN	00				N			Pulau	PULAURENGGIS	Pulau Renggis	Pulau Renggis	RENGGIS PULAU	Renggis, Pulau	Renggis, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73549	-107801	1.430833	104.045	1:25:51N	104:02:42E	48NUG9376058172	NA48-10	T	PT		SN	00				V				TANJONGRANGGAN	Tanjong Ranggan	Tanjong Ranggan	RANGGAN TANJONG	Ranggan, Tanjong	Ranggan, Tanjong		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73549	-107807	1.430833	104.045	1:25:51N	104:02:42E	48NUG9376058172	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGRENGGAM	Tanjong Renggam	Tanjong Renggam	RENGGAM TANJONG	Renggam, Tanjong	Renggam, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73547	-107803	1.441944	104.0525	1:26:31N	104:03:09E	48NUG9459559400	NA48-10	T	RK		SN	00				N				READROCK	Read Rock	Read Rock	READROCK	Read Rock	Read Rock		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73224	-107387	1.434444	103.687222	1:26:04N	103:41:14E	48NUG5395358591	NA48-10	T	RK		SN	00				N				HERALDROCK	Herald Rock	Herald Rock	HERALDROCK	Herald Rock	Herald Rock		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73213	-107374	1.318333	103.841667	1:19:06N	103:50:30E	48NUG7113245746	NA48-10	T	HLL		SN	00				D				GOODWOODHILL	Goodwood Hill	Goodwood Hill	GOODWOODHILL	Goodwood Hill	Goodwood Hill		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73170	-107309	1.239722	103.832778	1:14:23N	103:49:58E	48NUG7013937055	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGCHINA	Tanjong China	Tanjong China	CHINA TANJONG	China, Tanjong	China, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73158	-107295	1.408056	103.991389	1:24:29N	103:59:29E	48NUG8779555657	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGCHEKJAWA	Tanjong Chek Jawa	Tanjong Chek Jawa	CHEKJAWA TANJONG	Chek Jawa, Tanjong	Chek Jawa, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73156	-107291	1.388333	104.001389	1:23:18N	104:00:05E	48NUG8890653476	NA48-10	T	BCH		SN	00				N				CHANGIBEACH	Changi Beach	Changi Beach	CHANGIBEACH	Changi Beach	Changi Beach		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73155	-107290	1.386389	104.0025	1:23:11N	104:00:09E	48NUG8903053261	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGCHANGI	Tanjong Changi	Tanjong Changi	CHANGI TANJONG	Changi, Tanjong	Changi, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73155	27332	1.386389	104.0025	1:23:11N	104:00:09E	48NUG8903053261	NA48-10	T	PT		SN	00				V				CHANGIPOINT	Changi Point	Changi Point	CHANGIPOINT	Changi Point	Changi Point		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73472	-107704	1.401389	103.989722	1:24:05N	103:59:23E	48NUG8760954920	NA48-10	T	RK		SN	00				N			Malang	MALANGPAPAN	Malang Papan	Malang Papan	PAPAN MALANG	Papan, Malang	Papan, Malang		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73472	-107627	1.401389	103.989722	1:24:05N	103:59:23E	48NUG8760954920	NA48-10	T	RK		SN	00				V				MARTINROCK	Martin Rock	Martin Rock	MARTINROCK	Martin Rock	Martin Rock		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73466	-107697	1.283333	103.8	1:17:00N	103:48:00E	48NUG6649341878	NA48-10	T	HLL		SN	00				D			Bukit	BUKITPANDANKECHIL	Bukit Pandan Kechil	Bukit Pandan Kechil	PANDANKECHIL BUKIT	Pandan Kechil, Bukit	Pandan Kechil, Bukit		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73462	-107690	1.2625	103.847222	1:15:45N	103:50:50E	48NUG7174739573	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGPAGAR	Tanjong Pagar	Tanjong Pagar	PAGAR TANJONG	Pagar, Tanjong	Pagar, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73105	-107218	1.164444	103.742222	1:09:52N	103:44:32E	48NUG6005828737	NA48-10	T	ISL		SN	00				N			Pulau	PULAUBIOLA	Pulau Biola	Pulau Biola	BIOLA PULAU	Biola, Pulau	Biola, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73105	-107797	1.164444	103.742222	1:09:52N	103:44:32E	48NUG6005828737	NA48-10	T	ISL		SN	00				V				RABBITISLET	Rabbit Islet	Rabbit Islet	RABBITISLET	Rabbit Islet	Rabbit Islet		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73103	-107216	1.4	103.766667	1:24:00N	103:46:00E	48NUG6279154778	NA48-10	T	HLL		SN	00				D			Mount	MOUNTBIJOU	Mount Bijou	Mount Bijou	BIJOU MOUNT	Bijou, Mount	Bijou, Mount		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73100	-107212	1.3	103.8	1:18:00N	103:48:00E	48NUG6649443721	NA48-10	T	HLL		SN	00				D			Bukit	BUKITBESAR	Bukit Besar	Bukit Besar	BESAR BUKIT	Besar, Bukit	Besar, Bukit		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73099	-107580	1.262778	103.805278	1:15:46N	103:48:19E	48NUG6708039606	NA48-10	T	PT		SN	00				V				KUBUBATUBELAYAR	Kubu Batu Belayar	Kubu Batu Belayar	KUBUBATUBELAYAR	Kubu Batu Belayar	Kubu Batu Belayar		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73099	-107225	1.262778	103.805278	1:15:46N	103:48:19E	48NUG6708039606	NA48-10	T	PT		SN	00				V				TANJONGBLAYER	Tanjong Blayer	Tanjong Blayer	BLAYER TANJONG	Blayer, Tanjong	Blayer, Tanjong		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73099	-107209	1.262778	103.805278	1:15:46N	103:48:19E	48NUG6708039606	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGBERLAYAR	Tanjong Berlayar	Tanjong Berlayar	BERLAYAR TANJONG	Berlayar, Tanjong	Berlayar, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73099	-107196	1.262778	103.805278	1:15:46N	103:48:19E	48NUG6708039606	NA48-10	T	PT		SN	00				V				TANJONGBELAYAR	Tanjong Belayar	Tanjong Belayar	BELAYAR TANJONG	Belayar, Tanjong	Belayar, Tanjong		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73099	-107210	1.262778	103.805278	1:15:46N	103:48:19E	48NUG6708039606	NA48-10	T	PT		SN	00				V				TANJONGBERLAYER	Tanjong Berlayer	Tanjong Berlayer	BERLAYER TANJONG	Berlayer, Tanjong	Berlayer, Tanjong		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73095	-107203	1.253056	103.838056	1:15:11N	103:50:17E	48NUG7072738529	NA48-10	T	ISLT		SN	00				N			Pulau	PULAUBERHALAREPING	Pulau Berhala Reping	Pulau Berhala Reping	BERHALAREPING PULAU	Berhala Reping, Pulau	Berhala Reping, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73095	-107202	1.253056	103.838056	1:15:11N	103:50:17E	48NUG7072738529	NA48-10	T	ISLT		SN	00				V				TANJONGBERHALA	Tanjong Berhala	Tanjong Berhala	BERHALA TANJONG	Berhala, Tanjong	Berhala, Tanjong		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73093	-107200	1.316667	103.683333	1:19:00N	103:41:00E	48NUG5351345570	NA48-10	T	HLL		SN	00				D				BENWI	Benwi	Benwi	BENWI	Benwi	Benwi		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73113	-107234	1.333333	103.85	1:20:00N	103:51:00E	48NUG7206047404	NA48-10	T	HLL		SN	00				D				BRADDELLHILL	Braddell Hill	Braddell Hill	BRADDELLHILL	Braddell Hill	Braddell Hill		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73190	-107343	1.3	103.816667	1:18:00N	103:49:00E	48NUG6834943720	NA48-10	T	HLL		SN	00				D			Mount	MOUNTECHO	Mount Echo	Mount Echo	ECHO MOUNT	Echo, Mount	Echo, Mount		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73715	-108028	1.419167	103.938056	1:25:09N	103:56:17E	48NUG8186156888	NA48-10	T	HLL		SN	00				N			Bukit	BUKITTINGGI	Bukit Tinggi	Bukit Tinggi	TINGGI BUKIT	Tinggi, Bukit	Tinggi, Bukit		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73714	-108027	1.35	103.783333	1:21:00N	103:47:00E	48NUG6464349250	NA48-10	T	HLL		SN	00				D			Bukit	BUKITTIMAH	Bukit Timah	Bukit Timah	TIMAH BUKIT	Timah, Bukit	Timah, Bukit		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73707	-108020	1.301667	103.65	1:18:06N	103:39:00E	48NUG4980343914	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGTERITIP	Tanjong Teritip	Tanjong Teritip	TERITIP TANJONG	Teritip, Tanjong	Teritip, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73704	-108017	1.291389	103.692778	1:17:29N	103:41:34E	48NUG5456342775	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGTEREMBUGAYONG	Tanjong Terembu Gayong	Tanjong Terembu Gayong	TEREMBUGAYONG TANJONG	Terembu Gayong, Tanjong	Terembu Gayong, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73701	-108013	1.35	103.65	1:21:00N	103:39:00E	48NUG4980649258	NA48-10	T	PT		SN	00				D			Tanjong	TANJONGTENGEH	Tanjong Tengeh	Tanjong Tengeh	TENGEH TANJONG	Tengeh, Tanjong	Tengeh, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73695	27243	1.223889	103.860833	1:13:26N	103:51:39E	48NUG7326035304	NA48-10	T	ISL		SN	00				V				KUSUISLAND	Kusu Island	Kusu Island	KUSUISLAND	Kusu Island	Kusu Island		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73695	-108005	1.223889	103.860833	1:13:26N	103:51:39E	48NUG7326035304	NA48-10	T	ISL		SN	00				N			Pulau	PULAUTEMBAKUL	Pulau Tembakul	Pulau Tembakul	TEMBAKUL PULAU	Tembakul, Pulau	Tembakul, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73695	-107728	1.223889	103.860833	1:13:26N	103:51:39E	48NUG7326035304	NA48-10	T	ISL		SN	00				V				PEAKISLAND	Peak Island	Peak Island	PEAKISLAND	Peak Island	Peak Island		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73056	-107154	1.276944	103.700556	1:16:37N	103:42:02E	48NUG5542841177	NA48-10	T	ISL		SN	00				N			Pulau	PULAUAYERCHAWAN	Pulau Ayer Chawan	Pulau Ayer Chawan	AYERCHAWAN PULAU	Ayer Chawan, Pulau	Ayer Chawan, Pulau		1996-11-29	1,2,3,4,5,6	1			1993-09-01		
5	-73039	-107130	1.438333	103.6875	1:26:18N	103:41:15E	48NUG5398459021	NA48-10	T	RK		SN	00				N			Batu	BATUADDIS	Batu Addis	Batu Addis	ADDIS BATU	Addis, Batu	Addis, Batu		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73088	-107327	1.430833	104.069444	1:25:51N	104:04:10E	48NUG9648058171	NA48-10	T	RKS		SN	00				V				CORNWELLROCKS	Cornwell Rocks	Cornwell Rocks	CORNWELLROCKS	Cornwell Rocks	Cornwell Rocks		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73088	-107194	1.430833	104.069444	1:25:51N	104:04:10E	48NUG9648058171	NA48-10	T	RKS		SN	00				N			Batu	BATUBELALAI	Batu Belalai	Batu Belalai	BELALAI BATU	Belalai, Batu	Belalai, Batu		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73082	-107186	1.395278	104.041111	1:23:43N	104:02:28E	48NUG9332654242	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGBATUKOYOK	Tanjong Batu Koyok	Tanjong Batu Koyok	BATUKOYOK TANJONG	Batu Koyok, Tanjong	Batu Koyok, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73081	-107185	1.418889	103.955278	1:25:08N	103:57:19E	48NUG8377856856	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGBATUKEKEK	Tanjong Batu Kekek	Tanjong Batu Kekek	BATUKEKEK TANJONG	Batu Kekek, Tanjong	Batu Kekek, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73079	-107183	1.412222	104.023056	1:24:44N	104:01:23E	48NUG9131856116	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGBATUGAJAH	Tanjong Batu Gajah	Tanjong Batu Gajah	BATUGAJAH TANJONG	Batu Gajah, Tanjong	Batu Gajah, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73073	-107172	1.418056	103.988333	1:25:05N	103:59:18E	48NUG8745556763	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGBALAI	Tanjong Balai	Tanjong Balai	BALAI TANJONG	Balai, Tanjong	Balai, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73073	-107691	1.418056	103.988333	1:25:05N	103:59:18E	48NUG8745556763	NA48-10	T	PT		SN	00				V				TANJONGPALAI	Tanjong Palai	Tanjong Palai	PALAI TANJONG	Palai, Tanjong	Palai, Tanjong		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73688	-107995	1.416667	104.023056	1:25:00N	104:01:23E	48NUG9131856607	NA48-10	T	ISL		SN	00				N			Pulau	PULAUTEKONGKECHIL	Pulau Tekong Kechil	Pulau Tekong Kechil	TEKONGKECHIL PULAU	Tekong Kechil, Pulau	Tekong Kechil, Pulau		1995-04-27	1,2,3,4,5	1			1995-04-27		
